Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Zermatt (CH);Flachau (AT);La Clusaz (FR);Verbier (CH);Zillertal (AT);Morzine (FR);Châtel (FR);St Moritz (DE);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Gstaad (CH);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-09-15;16,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;5,33;21,33;0,00;0,00;4,00;8,00;4,57;0,00;43,43;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;8,00;4,00;0,00;4,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00
2019-09-22;25,00;4,00;4,00;4,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;35,00;4,00;0,00;4,00;4,00;0,00;0,00;65,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;8,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;16,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-29;20,00;0,00;4,00;8,00;8,00;4,00;4,00;4,00;0,00;0,00;0,00;7,50;20,00;0,00;0,00;0,00;4,00;0,00;5,00;60,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-10-06;29,00;0,00;4,00;8,00;0,00;0,00;0,00;0,00;0,00;5,27;0,00;5,27;18,45;4,00;0,00;4,00;8,00;4,83;0,00;48,33;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;4,00;0,00;8,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-10-13;16,00;0,00;8,00;8,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;5,33;13,33;0,00;0,00;4,00;8,00;4,57;0,00;36,57;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-10-20;43,00;0,00;8,00;8,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;7,59;50,59;0,00;8,00;4,00;8,00;0,00;0,00;55,65;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00
2019-10-27;56,00;0,00;4,00;24,00;8,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;20,36;4,00;0,00;16,00;0,00;0,00;0,00;63,30;0,00;0,00;4,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-03;23,00;4,00;8,00;8,00;4,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;20,44;0,00;0,00;16,00;8,00;0,00;0,00;20,44;5,11;4,00;0,00;8,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-10;40,00;0,00;4,00;8,00;16,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;20,00;0,00;0,00;4,00;0,00;0,00;0,00;105,00;0,00;0,00;0,00;4,00;12,00;0,00;0,00;0,00;0,00;0,00;8,00;4,00;0,00;4,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00
2019-11-17;43,00;4,00;0,00;4,00;0,00;4,00;0,00;4,00;0,00;5,06;0,00;5,06;15,18;0,00;0,00;12,00;4,00;0,00;0,00;60,71;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;20,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-24;28,00;4,00;8,00;8,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;7,64;22,91;0,00;4,00;8,00;0,00;0,00;0,00;63,64;5,09;0,00;4,00;0,00;4,00;0,00;0,00;0,00;4,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;4,00
