Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Tignes (FR);Les Arcs (FR);Les Ménuires (FR);Les Deux Alpes (FR);La Plagne (FR);La Clusaz (FR);Morzine (FR);Châtel (FR);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Vars (FR);Grand Bornand (FR);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-12-08;13,00;13,00;56,33;86,67;30,33;27,08;13,00;80,17;40,08;13,00;13,00;52,00;13,00;0,00;0,00;13,00;26,00;0,00;0,00;13,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00
2019-12-15;25,00;54,17;95,83;12,50;12,50;25,00;50,00;12,50;0,00;0,00;0,00;38,00;50,00;0,00;13,00;0,00;0,00;13,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-22;14,00;49,00;24,50;63,00;77,00;43,08;14,00;72,15;14,00;14,00;28,00;42,00;14,00;14,00;0,00;14,00;0,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-29;40,00;96,00;68,00;28,00;12,00;53,68;53,68;26,32;40,00;0,00;13,00;13,00;0,00;13,00;0,00;0,00;0,00;0,00;27,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-01-05;37,00;81,40;92,50;11,10;48,10;62,37;24,31;12,69;24,31;62,00;25,00;74,00;25,00;25,00;0,00;12,00;12,00;0,00;37,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-01-12;12,00;100,00;112,00;60,00;60,00;25,09;37,09;62,18;49,09;12,00;0,00;36,00;24,00;0,00;12,00;0,00;0,00;12,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-01-19;24,00;52,00;100,00;0,00;12,00;0,00;73,04;0,00;24,00;12,00;12,00;0,00;0,00;24,00;0,00;0,00;0,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00;12,00;0,00;0,00;0,00
2020-01-26;61,00;156,31;118,19;45,75;61,00;36,81;61,00;48,38;24,19;0,00;24,00;24,00;12,00;12,00;12,00;12,00;12,00;12,00;12,00;0,00;0,00;24,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-02-02;99,00;72,35;83,77;60,92;22,85;12,51;12,51;61,48;36,47;0,00;50,00;37,00;25,00;0,00;25,00;0,00;25,00;0,00;12,00;12,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-02-09;24,00;136,00;72,00;24,00;12,00;11,48;11,48;24,00;24,00;0,00;36,00;36,00;36,00;24,00;0,00;12,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
