Semaine;Nice (FR);reta (SI);Agadir (MA);Djerba (TN);Corfu (GR);Santorini Island (GR);Faro (PT);Bodrum (TR);Mykonos (GR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Cefalù (IT);Fréjus (FR);Amalfi (IT);Cannes (FR);Dubrovnik (HR);Antibes (FR);Le Touquet (BE);Le Barcarès (FR);Deauville (FR);Portofino (IT);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR);Saint Jean de Monts (FR);Plage de la Palmyre (FR)
2020-02-23;33,00;0,00;22,00;11,00;33,00;93,00;39,00;4,13;16,50;66,00;8,25;4,00;0,00;0,00;0,00;3,67;0,00;3,67;0,00;0,00;0,00;0,00;4,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00
2020-03-01;25,00;0,00;35,00;10,00;21,25;87,50;21,88;8,33;25,00;75,00;8,33;7,00;4,00;0,00;7,00;25,00;7,50;25,00;3,75;0,00;3,13;3,13;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-08;11,00;4,00;4,00;8,25;23,38;18,33;18,33;5,50;11,00;11,00;5,50;18,00;3,00;3,00;3,00;8,25;8,25;19,25;0,00;0,00;6,29;0,00;4,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-15;31,00;3,00;14,00;13,64;13,64;24,80;15,50;3,88;3,88;23,25;0,00;10,00;3,00;0,00;0,00;0,00;0,00;0,00;3,72;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-22;6,00;0,00;3,00;6,00;9,60;42,00;3,00;3,00;6,00;6,00;3,00;19,00;0,00;0,00;0,00;3,60;0,00;0,00;9,60;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-29;6,00;6,00;6,00;0,00;6,00;21,00;6,00;0,00;12,00;12,00;3,00;6,00;3,00;0,00;0,00;3,60;3,60;3,60;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-04-05;10,00;0,00;17,00;0,00;13,75;53,33;3,33;5,00;20,00;30,00;0,00;14,00;3,00;0,00;0,00;3,75;0,00;3,75;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-04-12;3,00;0,00;13,00;0,00;13,00;42,00;6,00;0,00;6,00;12,00;3,00;3,00;3,00;3,00;0,00;13,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-04-19;3,00;3,00;3,00;0,00;15,00;51,00;3,00;6,00;6,00;18,00;0,00;6,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-04-26;13,00;3,00;7,00;0,00;20,80;58,50;0,00;0,00;6,50;6,50;3,25;3,00;6,00;0,00;0,00;13,00;0,00;0,00;3,90;0,00;0,00;0,00;3,00;0,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
